no,word,jp
508,fountain,噴水、泉
509,franchise,フランチャイズ、営業権
510,freelance,フリーランスの、自由契約の
511,freight,貨物、運送
512,freighter,貨物船
513,frustrate,いらだたせる、挫折させる
514,fry,揚げる、炒める
515,fundraise,資金を集める
516,furnish,家具を備え付ける、供給する
517,gallon,ガロン（容量の単位）
518,garage,車庫、修理工場
519,garbage,ごみ
520,gardener,庭師、造園業者
521,garment,衣服、衣料品
522,gasoline,ガソリン
523,generalization,一般化、概括
524,generator,発電機
525,generic,一般的な、ノーブランドの
526,generous,気前のよい、寛大な
527,genre,ジャンル、様式
528,getaway,休暇旅行、逃走
529,glove,手袋
530,goods,商品、品物
531,gossip,うわさ話（をする）
532,graduation,卒業
533,gram,グラム
534,graph,グラフ
535,graphic,図表の、生々しい
536,graphics,図表、画像
537,grill,グリル、網焼き（にする）
538,grocery,食料雑貨（店）
539,guidance,指導、案内
540,gum,ガム、歯茎
541,gym,ジム、体育館
542,gymnasium,体育館
543,habitual,習慣的な
544,hacker,ハッカー
545,hallway,廊下、玄関
546,hamburger,ハンバーガー
547,handbook,手引き、便覧
548,handy,便利な、手近な
549,hardware,金物、ハードウェア
550,hardworking,勤勉な
551,harmful,有害な
552,hazard,危険（要素）
553,hazardous,危険な、有害な
554,headache,頭痛
555,headphone,ヘッドホン
556,headquarter,本部を置く（headquarters 本社）
557,healthcare,医療、健康管理
558,healthful,健康によい
559,heater,暖房器具、ヒーター
560,helmet,ヘルメット
561,hereby,これによって、ここに
562,hesitant,ためらいがちな
563,hesitation,ためらい
564,highway,幹線道路、高速道路
565,hike,ハイキング（する）、（値段の）引き上げ
566,hiker,ハイカー
567,hobby,趣味
568,homeless,家のない、ホームレスの
569,homemade,自家製の
570,homeowner,住宅所有者
571,homework,宿題
572,honestly,正直に
573,hospitality,もてなし、接客業
574,hotline,ホットライン、直通電話
575,hourly,1時間ごとの、時給の
576,housekeep,家事をする
577,housekeeper,家政婦、客室係
578,humidity,湿度、湿気
579,hungry,空腹の
580,hurricane,ハリケーン
581,hygiene,衛生
582,ice cream,アイスクリーム
583,icy,氷の、凍った
584,ideally,理想的には
585,identification,身分証明、識別
586,illogical,非論理的な
587,immigration,移民、入国審査
588,impact,影響、衝撃
589,impatient,我慢できない、いらいらした
590,imperative,必須の、命令的な
591,inappropriate,不適切な
592,inclusive,すべて込みの、包括的な
593,incoming,入ってくる、新任の
594,incomplete,不完全な
595,inconvenience,不便、迷惑
596,incur,（費用・損失などを）招く、被る
597,indicator,指標、表示器
598,indirect,間接的な
599,individually,個別に、それぞれ
600,indoor,屋内の
601,induction,導入、就任、誘導
602,inefficient,非効率な
603,inexpensive,安価な
604,inexperience,経験不足、未熟
605,infer,推測する、推論する
606,inference,推論、推測
607,inflate,膨らませる、（物価を）つり上げる
608,influential,影響力のある
609,informal,非公式の、くだけた
610,informative,有益な、情報を与える
611,ingredient,材料、成分
612,ink,インク
613,innovative,革新的な
614,inquire,尋ねる、問い合わせる
615,insert,挿入する
616,inspect,検査する、視察する
617,inspection,検査、点検
618,inspector,検査官、調査官
619,inspiration,ひらめき、着想、刺激
620,installation,設置、取り付け
621,institute,協会、研究所、（制度を）設ける
622,instruct,指示する、教える
623,instructor,講師、指導員
624,insufficient,不十分な
625,integral,不可欠な、（構成に）必要な
626,intently,熱心に、一心に
627,interactive,双方向の、対話式の
628,interfere,干渉する、邪魔する
629,intern,インターン、研修生
630,internationally,国際的に
631,internet,インターネット
632,internship,インターンシップ、実務研修
633,interpreter,通訳者
634,interrupt,中断する、さえぎる
635,intersection,交差点
636,intonation,抑揚、イントネーション
637,introductory,入門の、導入の（introductory offer 初回特典）
638,invaluable,非常に貴重な
639,invention,発明（品）
640,inventory,在庫（目録）
641,invoice,請求書、送り状
642,irregular,不規則な、不定期の
643,irrelevant,無関係の
644,irritate,いらだたせる
645,itinerary,旅程、行程表
646,jam,渋滞、ジャム、詰まる
647,jazz,ジャズ
648,jeans,ジーンズ
649,jet,ジェット機、噴射
650,jewelry,宝石類、アクセサリー
651,jog,ジョギングする
652,journalism,報道、ジャーナリズム
653,juice,ジュース
654,junior,年下の、下級の
655,junk,がらくた、くず
656,keyboard,キーボード
657,kilogram,キログラム
658,kilometer,キロメートル
659,kit,一式、キット
660,knowledgeable,博識な、詳しい
661,lab,研究室、実験室
662,ladder,はしご
663,lamp,ランプ、照明
664,landlord,家主、大家
665,lane,車線、小道
666,laptop,ノートパソコン
667,lately,最近
668,laundry,洗濯（物）、クリーニング店
669,lawn,芝生
670,layoff,一時解雇、レイオフ
671,layout,配置、レイアウト
672,leak,漏れ（る）、漏らす
673,lease,賃貸借（契約）、賃借する
674,lecturer,講師
675,leisure,余暇、レジャー
676,lengthy,長い、長々とした
677,letterhead,レターヘッド（社名入り便箋）
678,librarian,司書、図書館員
679,lifeguard,監視員、ライフガード
680,lifestyle,生活様式
681,lifetime,生涯、一生
682,lighter,ライター、より軽い
683,lightweight,軽量の
684,likewise,同様に
685,liter,リットル
686,lobby,ロビー、（議会への）働きかけ
687,locally,地元で、局地的に
688,locker,ロッカー
689,logical,論理的な
690,login,ログイン
691,logo,ロゴ
692,loudly,大声で
693,lounge,ラウンジ、休憩室
694,loyal,忠実な
695,loyalty,忠誠、愛着（loyalty program 顧客優待制度）
696,luggage,手荷物
697,luncheon,昼食会
698,lunchtime,昼食時間
699,ma'am,（女性への呼びかけ）奥様、お客様
700,machinery,機械（類）
701,malfunction,故障（する）、不具合
702,mall,ショッピングモール
703,managerial,経営の、管理職の
704,mandatory,義務的な、必須の
705,manual,手引き、取扱説明書、手動の
706,mask,マスク、仮面
707,massage,マッサージ
708,maximize,最大化する
709,meaningful,意味のある、有意義な
710,meantime,その間（in the meantime その間に）
711,mechanic,整備士、機械工
712,mechanical,機械の、機械的な
713,media,メディア、媒体
714,medication,薬、投薬
715,memo,メモ、社内連絡
716,memorandum,覚書、社内文書
717,memorize,暗記する
718,mentor,指導者、助言者
719,merchandise,商品
720,merchant,商人、貿易商
721,merge,合併する、統合する
722,merger,合併
723,merit,長所、価値
724,messenger,使者、配達人
725,microphone,マイク
726,microscope,顕微鏡
727,microwave,電子レンジ
728,midnight,真夜中
729,mild,穏やかな、まろやかな
730,mileage,走行距離、燃費
731,mineral,鉱物、ミネラル
732,mini,小型の、ミニ
733,minimize,最小化する
734,misidentify,見誤る、誤認する
735,mislead,誤解させる、惑わす
736,misplace,置き忘れる
737,mister,（男性への敬称）〜さん
738,modem,モデム
739,modification,修正、変更
740,monument,記念碑、遺跡
741,morale,士気、やる気
742,mosquito,蚊
743,motorcycle,オートバイ
744,mower,芝刈り機
745,nail,くぎ、爪
746,nap,昼寝、仮眠
747,nationwide,全国的な
748,neat,きちんとした、整った
749,necessity,必要（性）、必需品
750,necklace,ネックレス
751,needy,貧しい、困窮した
752,newsletter,会報、ニュースレター
753,newsstand,新聞・雑誌売店
754,noisy,騒がしい
755,nominate,指名する、推薦する
756,nomination,指名、推薦
757,noon,正午
758,notify,通知する、知らせる
759,nutrition,栄養
760,obligate,義務づける
761,oblige,義務づける、（〜せざるを得なくする）、応じる
762,obtain,得る、入手する
763,occupancy,入居、占有（率）
764,occupant,居住者、占有者
765,occupation,職業、占有
766,occurrence,出来事、発生
767,o'clock,〜時
768,officially,公式に、正式に
769,omit,省略する、抜かす
770,ongoing,進行中の、継続している
771,operational,運転可能な、業務上の
772,opt,選ぶ（for）
773,optimistic,楽観的な
774,optional,任意の、選択自由の
775,orchestra,オーケストラ、管弦楽団
776,organizational,組織の
777,organizer,主催者、まとめ役
778,orientation,オリエンテーション、方向づけ
779,outage,停電、供給停止
780,outdate,時代遅れにする（outdated 旧式の）
781,outdoor,屋外の
782,outfit,服装一式、装備
783,outlet,コンセント、直売店、はけ口
784,outlook,見通し、展望
785,outstanding,傑出した、未払いの
786,oval,楕円（形）の
787,oven,オーブン
788,overcharge,過剰請求する
789,overcrowd,過密にする、詰め込みすぎる
790,overdue,支払い期限を過ぎた、延滞の
791,overhead,頭上の、諸経費
792,overlook,見落とす、見渡す
793,overnight,一晩の、夜通し
794,overpay,払いすぎる
795,oversee,監督する
796,overtime,残業、時間外
797,overview,概要、概観
798,packet,小包、（データの）パケット
799,pad,パッド、当て物、メモ帳
800,painter,画家、塗装工
801,pamphlet,パンフレット、小冊子
802,pan,平なべ、フライパン
803,pant,あえぐ（pants ズボン）
804,paperback,ペーパーバック、文庫本
805,paperwork,事務手続き、書類仕事
806,parade,パレード、行列
807,paralegal,弁護士補助員
808,paraphrase,言い換える
809,parcel,小包
810,partial,部分的な、不公平な
811,partially,部分的に
812,passport,パスポート、旅券
813,password,パスワード
814,pasta,パスタ
815,pastry,ペストリー、焼き菓子
816,patent,特許
817,patience,忍耐、我慢
818,patron,常連客、後援者
819,payable,支払うべき、支払い可能な
820,paycheck,給料（小切手）
821,payroll,給与（総額）、従業員名簿
822,pedestrian,歩行者
823,penalize,罰する、ペナルティを科す
824,pepper,こしょう、ピーマン
825,performer,演奏者、出演者
826,periodical,定期刊行物、雑誌
827,periodically,定期的に
828,permanently,永久に、恒久的に
829,personalize,個人向けにする、名前を入れる
830,pet,ペット
831,petition,請願（書）、嘆願する
832,pharmaceutical,製薬の、薬剤の
833,pharmacist,薬剤師
834,pharmacy,薬局
835,photocopier,コピー機
836,photocopy,コピー（する）
837,photographer,写真家、カメラマン
838,photography,写真撮影
839,physician,医師、内科医
840,physics,物理学
841,picnic,ピクニック
842,pie,パイ
843,pill,錠剤、丸薬
844,pillow,枕
845,pizza,ピザ
846,placement,配置、就職あっせん
847,planner,立案者、予定表、プランナー
848,plausible,もっともらしい、あり得る
849,plow,耕す、（雪を）除ける、すき
850,plug,プラグ、栓（差し込む）
851,plumber,配管工
852,pole,棒、柱、極
853,polish,磨く、つや出し
854,polite,礼儀正しい
855,pollute,汚染する
856,poorly,不十分に、下手に、体調が悪く
857,popcorn,ポップコーン
858,popularity,人気
859,portable,持ち運びできる、携帯用の
860,portfolio,作品集、（資産の）ポートフォリオ
861,postage,郵便料金
862,postal,郵便の
863,postcard,はがき
864,poster,ポスター
865,postpone,延期する
866,pottery,陶器
867,precede,先立つ、先行する
868,prediction,予測、予言
869,preliminary,予備の、準備の
870,premium,割増金、保険料、高級な
871,prescribe,処方する、指示する
872,prescription,処方せん、処方
873,presenter,発表者、司会者
874,prestigious,名門の、権威ある
875,preview,試写、下見（する）
876,probable,ありそうな、起こりそうな
877,productive,生産的な
878,productivity,生産性
879,professionally,専門的に、職業として
880,proficiency,熟達、技能
881,profitable,利益になる、もうかる
882,programmer,プログラマー
883,prohibit,禁止する
884,projection,予測、投影
885,projector,プロジェクター、映写機
886,prominent,目立つ、著名な
887,promotional,販売促進の、宣伝の
888,promptly,すぐに、時間どおりに
889,proofread,校正する
890,prospective,見込みのある、将来の
891,protective,保護する、保護用の
892,provider,供給者、提供業者
893,publicity,宣伝、知名度
894,publicize,公表する、宣伝する
895,publish,出版する、公表する
896,punctual,時間を守る、几帳面な
897,purchaser,購入者
898,purse,ハンドバッグ、財布
899,purser,（船・機の）事務長、パーサー
900,puzzle,パズル、当惑させる
901,quarterly,四半期ごとの、季刊の
902,query,質問、問い合わせ
903,questionnaire,アンケート、質問票
904,quit,やめる、辞職する
905,rack,棚、ラック
906,railway,鉄道
907,raincoat,レインコート
908,rainfall,降雨（量）
909,rainy,雨の
910,ray,光線
911,realistic,現実的な、写実的な
912,realtor,不動産業者
913,rearrange,並べ替える、再調整する
914,reassure,安心させる
915,rebate,払い戻し、割戻金
916,receipt,領収書、受領
917,reception,受付、歓迎会、受信
918,receptionist,受付係
919,recession,景気後退、不況
920,recipe,レシピ、調理法
921,recipient,受取人、受賞者
922,reconsider,再考する
923,recreation,娯楽、レクリエーション
924,recreational,娯楽の、レクリエーションの
925,recruiter,採用担当者
926,recruitment,採用、募集
927,recur,再発する、繰り返される
928,recycle,再利用する、リサイクルする
929,redecorate,改装する、模様替えする
930,redesign,設計し直す
931,referee,審判、（論文などの）査読者
932,referral,紹介、照会
933,refinery,精製所
934,reflexive,再帰の、反射的な
935,refresh,元気づける、更新する
936,refreshment,軽い飲食物、軽食
937,refrigerator,冷蔵庫
938,refund,払い戻し（する）
939,refundable,払い戻し可能な
940,rehearsal,リハーサル、下稽古
941,rehearse,リハーサルする、練習する
942,reimburse,払い戻す、弁済する
943,reimbursement,払い戻し、経費精算
944,reinforce,強化する、補強する
945,relaxation,くつろぎ、緩和
946,reliability,信頼性
947,relieve,和らげる、安心させる、交代する
948,relocate,移転する、転勤する
949,relocation,移転、転勤
950,reluctant,気が進まない、しぶしぶの
951,remainder,残り、余り
952,reminder,思い出させるもの、催促状
953,remodel,改築する、改装する
954,removal,除去、撤去、引っ越し
955,renew,更新する、再開する
956,renewal,更新、再開
957,renovate,改修する、修復する
958,renovation,改修、修復
959,renown,名声
960,rental,賃貸（の）、レンタル
961,renter,賃借人、借り主
962,reopen,再開する
963,repairperson,修理工
964,repeatedly,繰り返し
965,repetition,繰り返し、反復
966,replacement,交換（品）、後任
967,reproduce,複製する、再現する、繁殖する
968,reschedule,予定を変更する
969,resemble,似ている
970,reservation,予約
971,residence,住居、居住
972,residential,住宅の
973,resignation,辞職、辞表
974,respondent,回答者、応答者
975,restatement,言い直し、再表明
976,restroom,（公共の）トイレ、化粧室
977,resume,再開する（résumé 履歴書）
978,retailer,小売業者
979,retreat,退却（する）、静養（所）
